0: System.Action`1::Invoke(!0)
1: System.Xaml.Schema.SafeReflectionInvoker/InvokeMethodDelegate::Invoke(System.Reflection.MethodInfo,System.Object,System.Object[])
2: System.RuntimeMethodHandle::InvokeMethod(System.Object,System.Object[],System.Signature,System.Boolean)
3: System.RuntimeMethodHandle::InvokeMethod(System.Object,System.Object[],System.Signature,System.Boolean)
4: System.Object::GetType()
5: System.Collections.Generic.IEqualityComparer`1::GetHashCode(!0)
6: System.Collections.Generic.IEqualityComparer`1::GetHashCode(!0)
7: System.Collections.Generic.IEqualityComparer`1::Equals(!0,!0)
8: System.Collections.Generic.IEqualityComparer`1::GetHashCode(!0)
9: System.Collections.Generic.IEqualityComparer`1::Equals(!0,!0)
10: System.EventHandler`1::Invoke(System.Object,!0)
11: System.Object::GetType()
12: System.Object::GetType()
13: System.Object::GetType()
14: System.Object::Equals(System.Object)
15: System.Collections.Generic.IEqualityComparer`1::GetHashCode(!0)
16: System.Collections.Generic.IEqualityComparer`1::GetHashCode(!0)
17: System.Collections.Generic.IEqualityComparer`1::Equals(!0,!0)
18: System.Object::ToString()
19: System.ICustomFormatter::Format(System.String,System.Object,System.IFormatProvider)
20: System.Object::GetType()
21: System.Enum::InternalCompareTo(System.Object,System.Object)
22: System.Decimal::FCallCompare(System.Decimal&,System.Decimal&)
23: System.Array::TrySZBinarySearch(System.Array,System.Int32,System.Int32,System.Object,System.Int32&)
24: System.Object::Equals(System.Object)
25: System.Object::Equals(System.Object)
26: System.Object::GetType()
27: System.ComponentModel.MemberDescriptor::get_Name()
28: System.ComponentModel.MemberDescriptor::get_Name()
29: System.ComponentModel.MemberDescriptor::get_Name()
30: System.Array::InternalSetValue(System.Void*,System.Object)
31: System.Object::GetType()
32: System.Xaml.Schema.SafeReflectionInvoker/InvokeMethodDelegate::Invoke(System.Reflection.MethodInfo,System.Object,System.Object[])
33: System.RuntimeMethodHandle::InvokeMethod(System.Object,System.Object[],System.Signature,System.Boolean)
34: System.RuntimeMethodHandle::InvokeMethod(System.Object,System.Object[],System.Signature,System.Boolean)
35: System.Object::GetType()
36: System.RuntimeType::AllocateValueType(System.RuntimeType,System.Object,System.Boolean)
37: System.RuntimeType::AllocateValueType(System.RuntimeType,System.Object,System.Boolean)
38: System.Object::GetType()
39: System.Runtime.Remoting.RemotingServices::GetRealProxy(System.Object)
40: System.Object::GetType()
41: System.Collections.Generic.IEqualityComparer`1::Equals(!0,!0)
42: System.Collections.Generic.IEqualityComparer`1::GetHashCode(!0)
43: MS.Internal.Xaml.Runtime.IAddLineInfo::WithLineInfo(System.Xaml.XamlException)
44: System.Collections.Generic.IEqualityComparer`1::Equals(!0,!0)
